Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Tanner Weingand,M,SBD,Raw,19.0,18-19,19-23,MR-T3,74.56,75,137.5,-145.0,-145.0,,137.5,97.5,102.5,-107.5,,102.5,182.5,-205.0,-205.0,,182.5,422.5,4,304.26,302.3,292.17,61.79,Yes,,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Robert Benedict,M,SBD,Raw,18.0,18-19,,MR-T3,81.84,82.5,142.5,152.5,-157.5,,152.5,92.5,97.5,-100.0,,97.5,177.5,187.5,195.0,,195.0,445.0,3,302.82,299.56,288.34,62.04,Yes,,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Mike Lonacharich,M,SBD,Raw,19.0,18-19,19-23,MR-T3,78.66,82.5,155.0,170.0,-187.5,,170.0,122.5,137.5,-147.5,,137.5,205.0,-222.5,-222.5,,205.0,512.5,2,356.97,353.68,341.04,72.91,Yes,,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Mike Lane,M,SBD,Raw,25.0,24-34,24-39,MR-O,81.76,82.5,-210.0,210.0,-227.5,,210.0,132.5,-140.0,-140.0,,132.5,280.0,302.5,-317.5,,302.5,645.0,2,439.17,434.45,418.19,89.97,Yes,USA,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Michael Mangoff,M,SBD,Raw,17.0,16-17,14-18,MR-T2,129.36,125+,125.0,140.0,150.0,,150.0,115.0,-125.0,127.5,,127.5,167.5,-185.0,187.5,,187.5,465.0,1,260.76,263.24,251.53,52.35,Yes,,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Mark W. Johnson,M,SBD,Raw,47.0,45-49,40-49,MR-M1b,85.0,90,162.5,172.5,-182.5,,172.5,120.0,-127.5,-127.5,,120.0,212.5,227.5,245.0,,245.0,537.5,4,358.11,353.86,340.02,73.52,Yes,,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Joshua Hendrix,M,SBD,Raw,15.0,13-15,14-18,MR-T1,46.8,52,67.5,82.5,92.5,,92.5,67.5,77.5,80.0,,80.0,62.5,67.5,75.0,,75.0,247.5,1,263.34,272.63,269.94,46.39,Yes,,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Joshua Hendrix,M,SBD,Raw,15.0,13-15,14-18,MR-O,46.8,52,67.5,82.5,92.5,,92.5,67.5,77.5,80.0,,80.0,62.5,67.5,75.0,,75.0,247.5,1,263.34,272.63,269.94,46.39,Yes,,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Jordan Evans #1,M,SBD,Raw,50.0,50-54,50-59,MR-M2a,88.4,90,185.0,200.0,210.0,,210.0,30.0,55.0,62.5,,62.5,205.0,240.0,255.0,,255.0,527.5,1,344.22,339.9,326.01,70.75,Yes,USA,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Jordan Evans #1,M,SBD,Raw,50.0,50-54,50-59,MR-O,88.4,90,185.0,200.0,210.0,,210.0,30.0,55.0,62.5,,62.5,205.0,240.0,255.0,,255.0,527.5,14,344.22,339.9,326.01,70.75,Yes,USA,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Jessica Gosney,F,SBD,Raw,29.0,24-34,24-39,FR-O,81.6,82.5,-120.0,-137.5,-137.5,,,-62.5,,,,,,,,,,,DQ,,,,,Yes,,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
D. Glenn Clarke,M,SBD,Raw,21.0,20-23,19-23,MR-O,88.7,90,190.0,-210.0,-210.0,,190.0,110.0,130.0,-137.5,,130.0,200.0,210.0,227.5,,227.5,547.5,13,356.64,352.16,337.72,73.31,Yes,,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
D. Glenn Clarke,M,SBD,Raw,21.0,20-23,19-23,MR-Jr,88.7,90,190.0,-210.0,-210.0,,190.0,110.0,130.0,-137.5,,130.0,200.0,210.0,227.5,,227.5,547.5,5,356.64,352.16,337.72,73.31,Yes,,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
David Benac,M,SBD,Raw,34.0,24-34,24-39,MR-O,86.1,90,157.5,162.5,167.5,,167.5,135.0,140.0,-142.5,,140.0,232.5,250.0,255.0,,255.0,562.5,9,372.18,367.65,353.06,76.44,Yes,,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Dave Quevreaux,M,SBD,Raw,76.0,75-79,70-999,MR-M4b,84.5,90,-62.5,62.5,70.0,,70.0,82.5,92.5,-97.5,,92.5,102.5,120.0,-127.5,,120.0,282.5,1,188.82,186.61,179.36,38.75,Yes,,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Cameron Youssef,M,SBD,Raw,16.0,16-17,14-18,MR-T2,103.98,110,87.5,95.0,102.5,,102.5,67.5,75.0,-77.5,,75.0,145.0,165.0,-182.5,,165.0,342.5,1,207.38,205.37,196.1,42.48,Yes,,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Benjamin Hudson,M,SBD,Raw,22.0,20-23,19-23,MR-Jr,87.5,90,190.0,-210.0,210.0,,210.0,130.0,140.0,145.0,,145.0,-225.0,-250.0,250.0,,250.0,605.0,2,396.89,391.96,376.13,81.56,Yes,,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Alexander Willcox,M,SBD,Raw,23.0,20-23,19-23,MR-O,141.02,125+,240.0,257.5,-265.0,,257.5,145.0,152.5,155.0,,155.0,272.5,282.5,290.0,,290.0,702.5,3,384.2,392.14,372.53,76.36,Yes,,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
AJ Hesser,M,SBD,Raw,20.0,20-23,19-23,MR-Jr,146.28,125+,215.0,237.5,250.0,,250.0,155.0,165.0,175.0,,175.0,262.5,277.5,-282.5,,277.5,702.5,1,380.35,390.07,369.51,75.28,Yes,USA,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
AJ Hesser,M,SBD,Raw,20.0,20-23,19-23,MR-O,146.28,125+,215.0,237.5,250.0,,250.0,155.0,165.0,175.0,,175.0,262.5,277.5,-282.5,,277.5,702.5,4,380.35,390.07,369.51,75.28,Yes,USA,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Dale Sledge,M,SBD,Raw,25.0,24-34,24-39,MR-O,107.64,110,205.0,227.5,-272.5,,227.5,197.5,205.0,-215.0,,205.0,295.0,317.5,-332.5,,317.5,750.0,2,447.9,444.41,424.52,91.54,Yes,,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Craig Covington,M,SBD,Raw,42.0,40-44,40-49,MR-M1a,73.46,75,-142.5,142.5,-172.5,,142.5,85.0,90.0,-92.5,,90.0,142.5,157.5,162.5,,162.5,395.0,1,287.21,285.62,276.22,58.21,Yes,,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Erik Frank,M,SBD,Raw,28.0,24-34,24-39,MR-O,107.58,110,240.0,255.0,-260.0,,255.0,190.0,197.5,-202.5,,197.5,260.0,272.5,-280.0,,272.5,725.0,3,433.06,429.68,410.44,88.51,Yes,USA,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Brian Wegner,M,SBD,Raw,14.0,13-15,14-18,MR-T1,54.1,56,60.0,67.5,70.0,,70.0,45.0,47.5,-50.0,,47.5,75.0,82.5,87.5,,87.5,205.0,1,189.25,193.13,189.75,35.54,Yes,USA,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Sarah Lewis #3,F,SBD,Raw,17.0,16-17,14-18,FR-O,57.7,60,-92.5,92.5,-102.5,,92.5,45.0,50.0,55.0,,55.0,117.5,130.0,145.0,,145.0,292.5,3,332.46,336.19,297.21,67.99,Yes,USA,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Sarah Lewis #3,F,SBD,Raw,17.0,16-17,14-18,FR-T2,57.7,60,-92.5,92.5,-102.5,,92.5,45.0,50.0,55.0,,55.0,117.5,130.0,145.0,,145.0,292.5,1,332.46,336.19,297.21,67.99,Yes,USA,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Dustin Kuhl,M,SBD,Raw,26.0,24-34,24-39,MR-O,80.7,82.5,150.0,165.0,172.5,,172.5,110.0,117.5,-122.5,,117.5,182.5,195.0,205.0,,205.0,495.0,6,339.59,336.1,323.71,69.5,Yes,USA,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
Jana Youssef,F,SBD,Raw,41.0,40-44,40-49,FR-M1a,99.9,90+,82.5,-100.0,-100.0,,82.5,47.5,52.5,55.0,,55.0,100.0,117.5,-137.5,,117.5,255.0,1,217.69,212.37,182.47,45.49,Yes,,,USAPL,IPF,2008-07-25,USA,MO,St Louis,Raw Nationals
